created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,Sentiment Analysis (Label)
Thu Oct 14 23:58:00 +0000 2021,1.448800286349435e+18,"Thinking about a conspiraboomer paying some COVID-positive 20-something to sneeze on them because Alex Jones said getting COVID was safer than getting the vaccine, and then getting pissed because the young person says no problem"" instead of ""you're welcome"".""",1.0,0.0,1,5.0,en,38997531,1448800286349434886,8000Gnat,https://twitter.com/8000Gnat/status/1448800286349434886,Negative
Thu Oct 14 23:57:43 +0000 2021,1.4488002151762e+18,@aja9696 @civillibertari2 @POTUS That's literally what the VAERS is. A CDC reporting tool to monitor adverse reactions to the COVID vaccines including death. But yeah I'm sure the higher rate of myocarditis is just disinformation and the vaccines are sAfE and eFfEcTiVe https://t.co/e0CuuUvlTL,0.0,1.0,0,1.0,en,1352370530813263874,1448698405899968514,trav088,https://twitter.com/trav088/status/1448800215176200192,Positive
Thu Oct 14 23:57:42 +0000 2021,1.448800213003604e+18,@POTUS I have a question Mr Presidente  If I get the COVID-19 vaccine can I still get sick from COVID-19? If I can still get sick can I still spread the virus to others?  If ‘yes’ to both why oppress people into getting the Vax or lose their job?  The benefits don’t outweigh the risk…,0.0,0.0,0,0.0,en,1421857984850845697,1448767442487029760,Team_Litecoin,https://twitter.com/Team_Litecoin/status/1448800213003603972,Negative
Thu Oct 14 23:57:37 +0000 2021,1.448800190752645e+18,"@ziggystar18 @corybernardi Ironically, yes, because Australia has a good public health system funded from taxes and a barely plausible social welfare net, again, funded by taxes.  And do you know how many people have died from Covid (including from clots caused by it) as opposed to the vaccines?",0.0,1.0,0,0.0,en,958940289531461632,1447841703264587777,Tupac_Katari123,https://twitter.com/Tupac_Katari123/status/1448800190752645120,Positive
Thu Oct 14 23:57:19 +0000 2021,1.4488001136154132e+18,"@dysclinic And many become worse after covid vaccines, much worse. But no one wants to talk about that.",0.0,1.0,0,4.0,en,3032352520,1448744815655542796,ellecalendula,https://twitter.com/ellecalendula/status/1448800113615413250,Negative
Thu Oct 14 23:57:16 +0000 2021,1.4488001004369224e+18,@BwayCarl @Koffi51 @WilliamJamesHo5 @HangOnPpl @Isobel_waby @Diremommy Nope if it worked as it should there wouldn't be vaccinated individuals getting and spreading covid. You can say but the chance of dying drops etc but the vaccine was put out to stop you from getting it. They changed the goal post once it didn't do its actual purpose.,0.0,1.0,0,2.0,en,1442545327047774210,1448418036604616705,RMFT___18,https://twitter.com/RMFT___18/status/1448800100436922368,Negative
Thu Oct 14 23:57:04 +0000 2021,1.4488000533137695e+18,Mixing COVID Vaccine Boosters May Be Better Option: Study https://t.co/sXo2LJudfa,0.0,0.0,0,0.0,en,517166365,1448800053313769482,PharmDigest,https://twitter.com/PharmDigest/status/1448800053313769482,Positive
Thu Oct 14 23:57:01 +0000 2021,1.4488000379962775e+18,"I love how @DrJenGunter breaks out all the facts in such an easy-to-understand but not patronizing way. Latest on the supposed Phizer whistleblowers —&gt The COVID-19 vaccine was developed using a fetal cell line. So were Tylenol, ibuprofen...and ivermectin.  https://t.co/lmVbHxCDaL",0.0,0.0,0,0.0,en,18233178,1448800037996277761,LouiseJulig,https://twitter.com/LouiseJulig/status/1448800037996277761,Negative
Thu Oct 14 23:57:00 +0000 2021,1.44880003411644e+18,A panel of advisers to the Food and Drug Administration on Thursday unanimously recommended that the agency authorize a booster dose of the Moderna COVID-19 vaccine at least six months after completion of the initial two-dose regimen.  https://t.co/SeOmXYaVie,0.0,0.0,0,0.0,en,77055180,1448800034116440067,KOSURadio,https://twitter.com/KOSURadio/status/1448800034116440067,Neutral
Thu Oct 14 23:56:56 +0000 2021,1.44880001920999e+18,"@RearTodd @kpsz0914 @POTUS You lack math skills. ~400,000 since the vaccine became widely available.  Also deduct from the total number of COVID deaths an unknown number of flu deaths because for months the COVID test couldn't distinguish between it and other illnesses.",0.0,1.0,0,1.0,en,416775118,1448767442487029760,Pa1mettoL1berty,https://twitter.com/Pa1mettoL1berty/status/1448800019209990149,Neutral
